stratum	repository	stars	size_kb	language	fork
general	nextlevelbuilder/ui-ux-pro-max-skill	125898	8162	Python	false
general	nikic/PHP-Parser	17465	7554	PHP	false
dotfiles	nix-darwin/nix-darwin	5909	8212	Nix	false
small	northgraindata/dbt-doctor	60	2171	TypeScript	false
general	nothings/stb	34612	5759	C	false
general	nvbn/thefuck	97772	4043	Python	false
dotfiles	NvChad/NvChad	28469	2012	Lua	false
security	NVIDIA/SkillSpector	16583	3751	Python	false
general	nvm-sh/nvm	95020	4587	Shell	false
general	obra/superpowers	282943	4425	Shell	false
general	ohmyzsh/ohmyzsh	189625	13978	Shell	false
security	OJ/gobuster	14093	1387	Go	false
testfixtures	onsi/ginkgo	9051	8577	Go	false
general	open-guides/og-aws	36452	7680	Shell	false
general	openai/whisper	108725	12797	Python	false
large	opendatalab/MinerU	79431	185190	Python	false
small	OWASP/www-project-agent-observability-standard	60	3361	none	false
docs-only	pandao/editor.md	14323	16106	JavaScript	false
installer	Panniantong/Agent-Reach	78700	2014	Python	false
small	patsec/ot-sim	60	542	Go	false
dotfiles	paulirish/dotfiles	4361	2861	Shell	false
malware-analysis	pedramamini/awesome-yara	4270	368	none	false
docs-only	pedronauck/docz	23578	10054	TypeScript	false
security	Pennyw0rth/NetExec	5846	17961	Python	false
testfixtures	pestphp/pest	11708	3940	PHP	false
general	PhilJay/MPAndroidChart	38182	21593	Java	false
general	pi-hole/pi-hole	60796	9198	Shell	false
general	pjreddie/darknet	26499	6526	C	false
small	planetscale/ghcommit	60	260	Go	false
general	pmndrs/zustand	58653	8116	TypeScript	false
general	postalserver/postal	16796	3476	Ruby	false
testfixtures	postmanlabs/httpbin	13616	750	Python	false
general	poteto/hiring-without-whiteboards	52017	3423	JavaScript	false
general	practical-tutorials/project-based-learning	282530	482	Python	false
docs-only	prakhar1989/awesome-courses	70960	1401	none	false
testfixtures	probelabs/goreplay	19319	18139	Go	false
general	public-apis/public-apis	477212	8075	Python	false
security	PyCQA/bandit	8251	5901	Python	false
general	pyenv/pyenv	45084	6858	Shell	false
small	QazCetelic/home-watcher	60	72	Rust	false
testfixtures	Quick/Quick	9825	3491	Swift	false
testfixtures	quii/learn-go-with-tests	23867	9656	Go	false
non-english	QwenAudio/CosyVoice	23506	2797	Python	false
installer	Raphire/Win11Debloat	56829	2348	PowerShell	false
small	recraft-ai/mcp-recraft-server	60	194	TypeScript	false
malware-analysis	rednaga/APKiD	2569	10410	YARA	false
general	resume/resume.github.com	62897	411	JavaScript	false
general	rizinorg/cutter	19695	16347	C++	false
small	rjaros/kilua-rpc	60	1115	Kotlin	false
general	robertdavidgraham/masscan	25992	3696	C	false
general	roots/sage	13270	10297	PHP	false
malware-analysis	rshipp/awesome-malware-analysis	14182	659	none	false
general	rtk-ai/rtk	79346	7746	Rust	false
general	rust-lang/rustlings	64083	4438	Rust	false
general	rust-unofficial/awesome-rust	59236	8519	Rust	false
dotfiles	ryan4yin/nixos-and-flakes-book	3276	3304	TypeScript	false
general	ryanmcdermott/clean-code-javascript	94766	520	JavaScript	false
small	salesforce/factualNLG	60	1682	Jupyter Notebook	false
docs-only	satwikkansal/wtfpython	37078	1464	Python	false
small	sbt/sbt-multi-jvm	60	379	Scala	false
general	schollz/croc	40273	12273	Go	false
non-english	SCIR-HI/Huatuo-Llama-Med-Chinese	4990	11208	Python	false
general	scottbez1/smartknob	22117	15114	C++	false
security	securego/gosec	8945	6620	Go	false
general	Seldaek/monolog	21404	5094	PHP	false
docs-only	serhii-londar/open-source-mac-os-apps	50289	6943	none	false
small	seriotonctf/AD-Tools	60	15	none	false
general	sharkdp/fd	44335	2417	Rust	false
general	shengxinjing/programmer-job-blacklist	28395	1147	Shell	false
general	sherlock-project/sherlock	91079	18979	Python	false
docs-only	shimohq/chinese-programmer-wrong-pronunciation	23298	1102	JavaScript	false
general	Shopify/liquid	11875	6568	Ruby	false
testfixtures	Shopify/toxiproxy	12314	3604	Go	false
general	sickcodes/Docker-OSX	52909	13718	Shell	false
general	sidekiq/sidekiq	13554	15180	Ruby	false
docs-only	SimulatedGREG/electron-vue	15377	5927	JavaScript	false
general	sinatra/sinatra	12449	7873	Ruby	false
docs-only	sindresorhus/awesome	504053	1566	none	false
docs-only	sindresorhus/awesome-nodejs	66731	1532	none	false
general	slab/quill	47328	18429	TypeScript	false
security	smicallef/spiderfoot	21837	16517	Python	false
small	smo0ths/UE4and5CommOpti	60	1413	none	false
small	SoftwareFoundationGroupAtKyotoU/pure-borrow	60	1425	Haskell	false
docs-only	Solido/awesome-flutter	61119	3451	Dart	false
small	sonic-net/sonic-swss-common	60	2561	C++	false
docs-only	sparanoid/chinese-copywriting-guidelines	15674	408	none	false
general	SpartnerNL/Laravel-Excel	12702	3986	PHP	false
general	spatie/laravel-permission	12961	3287	PHP	false
general	spf13/cobra	44579	2107	Go	false
small	stolyarenkoks/Dynamic-Island-SwiftUI-Demo	60	3728	Swift	false
testfixtures	stretchr/testify	26204	2063	Go	false
small	sui-ni2/personal-ai-os	60	3196	Python	false
security	sundowndev/hacker-roadmap	15581	148	none	false
general	sxyazi/yazi	42039	9511	Rust	false
small	t0ddc3by/claude-for-customer-success	60	6173	Python	false
non-english	TakWolf/ark-pixel-font	4705	12206	HTML	false
general	TauricResearch/TradingAgents	102973	5459	Python	false
general	termux/termux-app	60488	5227	Java	false
testfixtures	testcontainers/testcontainers-java	8735	15446	Java	false
testfixtures	testing-library/react-testing-library	19649	1669	JavaScript	false
security	The-Z-Labs/linux-exploit-suggester	6607	426	Shell	false
general	TheAlgorithms/Java	66226	7615	Java	false
general	TheAlgorithms/Python	224364	17031	Python	false
security	TheKingOfDuck/fuzzDicts	8436	23029	Python	false
general	thephpleague/flysystem	13585	4044	PHP	false
docs-only	tiimgreen/github-cheat-sheet	58927	776	none	false
general	tmux/tmux	49141	22811	C	false
general	tmuxinator/tmuxinator	13718	1020	Ruby	false
general	tokio-rs/tokio	33092	17357	Rust	false
security	toniblyx/my-arsenal-of-aws-security-tools	9502	380	Shell	false
general	TranslucentTB/TranslucentTB	20279	13203	C++	false
general	trekhleb/javascript-algorithms	196655	14964	JavaScript	false
docs-only	trimstray/the-book-of-secret-knowledge	242608	1748	none	false
general	trojan-gfw/trojan	19757	927	C++	false
small	twardoch/audiostretchy	60	4325	Python	false
general	type-challenges/type-challenges	48495	3344	TypeScript	false
non-english	typedgrammar/typed-japanese	1946	1753	TypeScript	false
general	typescript-cheatsheets/react	47101	3105	TypeScript	false
general	typesense/typesense	26526	14386	C++	false
general	typicode/json-server	75704	4258	JavaScript	false
testfixtures	ultrafunkamsterdam/undetected-chromedriver	12827	348	Python	false
large	unclecode/crawl4ai	81935	151082	Python	false
general	uNetworking/uWebSockets	18981	5843	C++	false
general	unknwon/the-way-to-go_ZH_CN	35023	12602	Go	false
security	urbanadventurer/WhatWeb	6823	11121	Ruby	false
malware-analysis	user1342/Awesome-Android-Reverse-Engineering	2694	127	none	false
general	vadimdemedes/ink	39831	2173	TypeScript	false
general	ValdikSS/GoodbyeDPI	28622	222	C	false
general	valinet/ExplorerPatcher	33809	9196	C	false
security	vanhauser-thc/thc-hydra	12246	3744	C	false
security	vavkamil/awesome-bugbounty-tools	6247	153	none	false
general	vercel-labs/agent-browser	42134	21425	Rust	false
general	vercel/hyper	44728	23469	TypeScript	false
general	vinta/awesome-python	319197	6104	Python	false
small	vitejs/release-scripts	60	413	TypeScript	false
general	vlucas/phpdotenv	13551	696	PHP	false
docs-only	VoltAgent/awesome-openclaw-skills	52435	2233	none	false
small	voxpupuli/puppet-prometheus	60	2835	Puppet	false
docs-only	vsouza/awesome-ios	53290	17206	Swift	false
general	wagoodman/dive	54538	6927	Go	false
malware-analysis	We5ter/Scanners-Box	9038	12701	none	false
dotfiles	webpro/awesome-dotfiles	10855	110	none	false
general	wuyouzhuguli/SpringAll	28946	1069	Java	false
general	xai-org/x-algorithm	32885	3729	Rust	false
small	xaviersolau/BlazorJsonLocalization	60	831	C#	false
general	xiaojieonly/Ehviewer_CN_SXJ	26769	15946	C	false
general	xkcoding/spring-boot-demo	34078	14194	Java	false
dotfiles	yadm-dev/yadm	6416	3767	Python	false
general	yewstack/yew	32798	21983	Rust	false
large	yt-dlp/yt-dlp	189732	64775	Python	false
large	ytdl-org/youtube-dl	141159	65510	Python	false
docs-only	yusufkaraaslan/Skill_Seekers	14934	21065	Python	false
small	yuya-takeyama/ntimes	60	32	Go	false
general	zhongyang219/TrafficMonitor	46091	16876	C++	false
security	zizmorcore/zizmor	6458	6116	Rust	false
general	zsh-users/zsh-autosuggestions	36048	583	Shell	false
